Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P1303	musical instrument (Q34379): the instrument that a person plays (includes vocals)	musical instrument (Q34379)	musician (Q639669): person with occupation (P106) = any subclass of (P279) musician (Q639669)	types of musical instruments - musical instrument (Q34379) (note: this should be moved to the property statements)	According to this template: Ringo Starr (Q2632) => drum (Q11404) According to statements in the property: Ringo Starr (Q2632) ? drum (Q11404) When possible, data should only be stored as statements	Item
P1424	primary infobox or template of this subject	Wikipedia:Templates (Q11871615)	null	instances of Wikimedia template (Q11266439) (note: this should be moved to the property statements)	Syngnathiformes (Q650692) ? Template:Syngnathiformes (Q14464882) human (Q5) ? Template:Infobox person (Q6249834)	Item
P108	null	employer (Q3053337)	human (Q5)	All kinds of employers: businesses, educational facilities, branches of government, non-profit organizations, provider of honorary positions etc. (note: this should be moved to the property statements)	Albert Verlinde (Q1965433) ? Stage Entertainment (Q181192) Bill Gates (Q5284) ? Microsoft (Q2283) Neil Armstrong (Q1615) ? National Aeronautics and Space Administration (Q23548) J. R. R. Tolkien (Q892) ? University of Oxford (Q34433) Douglas Adams (Q42) ? BBC (Q9531)	Item
P1542	effect of this cause; inverse of has cause (P828). See Help:Modeling_causes for examples and discussion.	null	None. Often but not always events or processes. See examples and discussion.	any item (note: this should be moved to the property statements)	According to this template: American Civil War (Q8676) cause of Thirteenth Amendment to the United States Constitution (Q175613), Reconstruction Era (Q623429) According to statements in the property: mercury (Q925) ? mercury poisoning (Q408089) American Civil War (Q8676) ? Thirteenth Amendment to the United States Constitution (Q175613) When possible, data should only be stored as statements	Item
P1301	total number of elevators (lifts)	null	geographic location (Q2221906)	positive whole number (note: this should be moved to the property statements)	Chrysler Building (Q11274) ? 32	Number
P1540	Male population of a community	null	Male Population (Country, Province, County, City, village)	Range 0 to 10^10 (note: this should be moved to the property statements)	Male Population = 10000 (note: this should be moved to the property statements)	Number
P1661	The website's current Alexa ranking	null	Organization	Positive numbers (note: this should be moved to the property statements)	Wikivoyage (Q373) -> 20,477 (note: this should be moved to the property statements)	Number
P1420	synonyms of the taxon name	synonym (Q1040689)	taxa	scientific names (note: this should be moved to the property statements)	Poecilia reticulata (Q178202): Lebistes reticulatus, Acanthocephalus guppii, Acanthocephalus reticulatus, Girardinus guppii, Girardinus petersi, Girardinus poeciloides, Girardinus reticulatus, Haridichthys reticulatus, Heterandria guppyi, Lebistes poecilioides, Poecilia poeciloides, Poecilioides reticulatus (note: this should be moved to the property statements)	Item
P1660	primary case, patient zero: initial patient in the population of an epidemiological investigation	null	outbreak (Q3241045)	human (Q5) (note: this should be moved to the property statements)	According to this template: Ebola virus disease in the United States (Q17486597) has index case Thomas Eric Duncan (Q18249266) According to statements in the property: Ebola virus disease in the United States (Q17486597) ? Thomas Eric Duncan (Q18249266) When possible, data should only be stored as statements	Item
P470	Manchu household register (Eight Banners Q340803) for people of the Qing Dynasty (qualifier can be used to identify how the person got the register, such as Banner raised)	null	person (Qing Dynasty)	Manchu Bordered Yellow Banner, Han Army Bordered Yellow Banner, etc. (see below) (note: this should be moved to the property statements)	According to this template: Oboi - Manchu Bordered Yellow Banner According to statements in the property: Oboi (Q1194024) ? Manchu Bordered Yellow Banner (Q12077946) When possible, data should only be stored as statements	Item
P577	date of publication of the creative work (book, film, and so on)	date of publication (Q1361758)	work (Q386724)	null	The Gold Rush (Q214723) ? 1925 The standardisation of mineral group hierarchies: application to recent nomenclature proposals (Q19983493) ? 2009	Point in time
P576	The date (or year) the organization was dissolved.	null	organization (e.g. football clubs)	Between 0 and 10000 years after inception (P571), if present (note: this should be moved to the property statements)	Team Bath F.C. (Q4384416) ? 2009	Point in time
P579	Describes the official IMA status of a mineral - International Mineralogical Association (Q268771)	null	minerals (items)	twelve possible inputs per language (approved 'A', grandfathered 'G', discredited 'D', mineral variety 'var.', non mineral, redefined 'Rd', renamed 'Rn', revalidated 'R', questionable 'Q', preferred name, published without approval 'N', hypothetical mineral 'H') (note: this should be moved to the property statements)	e.g. Abelsonite = approved, Abernathyite = grandfathered (note: this should be moved to the property statements)	Item
P457	text that gave rise to an organization	null	organizations, administrative units possibly others	legal documents (note: this should be moved to the property statements)	Canada (Q16) ? Constitution Act, 1867 (Q868884) Federal Reserve System (Q53536) ? Federal Reserve Act (Q2982567)	Item
P578	Dummy property for testing 'time' data type property values	null	any kind of values	null	Moon (Q405) September 11 attacks (Q10806) ? 11 September 2001 Category:2015 deaths (Q9722104) ? 2015	Point in time
P1418	Orbits completed in space missions	null	space missions	null	Gemini 10 (Q752799) ? 43	Number
P1539	Female population of a community	null	Female Population (Country, Province, County, City, village)	Range 0 to 10^10 (note: this should be moved to the property statements)	Female Population = 10000 (note: this should be moved to the property statements)	Number
P210	In some countries, chief representative of a party (mainly ruling communist party) in an institution or an administrative unit (qualifier member of political party (P102) should be used to identify the party)	null	institutions and administrative divisions [ political party (Q7278) or administrative territorial entity (Q56061) ]	persons (note: this should be moved to the property statements)	According to this template: Beijing: Guo Jinlong qualifier member of political party: Communist Party of China) According to statements in the property: Beijing (Q956) ? Guo Jinlong (Q1368232) When possible, data should only be stored as statements	Item
P452	Industry of company, activity sector. Use field of work (P101) for people.	industry (Q8148), economic branch (Q268592)	organization (Q43229), mainly company (Q783794).	industry (Q8148) - industries or fields (note: this should be moved to the property statements)	Red Hat (Q485593) ? software industry (Q880371)	Item
P694	„The legitimate or illegitimate, previously published name on which a replacement name (avowed substitute, nomen novum) is based.“ (see ICN-Glossary and ICN-Art. 6.11)	replaced synonym (Q15709329)	Scope of International Code of Nomenclature for algae, fungi, and plants (ICN)	null	Agave duplicata Replaced synonym is Bravoa geminiflora (note: this should be moved to the property statements)	Item
P1419	the shape an entity normally has	shape (Q207961)	meta / all	all items (note: this should be moved to the property statements)	pyramid (Q12516) ? pyramid (Q3358290) human eye (Q430024) ? sphere (Q12507)	Item
P451	partner of the subject (i.e. someone with whom the subject was closely related but not married, as befits today's modern "partnership" as opposed to marriage trend).	null	person	person (note: this should be moved to the property statements)	Simone de Beauvoir (Q7197) ? Jean-Paul Sartre (Q9364) Brad Pitt (Q35332) ? Angelina Jolie (Q13909) George Sand (Q3816) ? Frédéric Chopin (Q1268)	Item
P693	Describes the usual way that crystals cleave.	cleavage (Q107400)	Minerals, Variants of minerals. Some rocks (schists). Other material?	en:Cleavage_(crystal) (note: this should be moved to the property statements)	halite = {001} + Qualifier = good - {001} meaning any miller indices of cubic planes (100, 010, 001) (note: this should be moved to the property statements)	Item
P1416	null	null	human (Q5)	organisations (including projects) (note: this should be moved to the property statements)	Raoul Bott (Q441185) ? Institute for Advanced Study (Q635642)	Item
P1537	thing that is significantly influenced by this cause, but does not directly result from it	null	None. Often but not always events or processes. See examples and discussion.	Any. Often but not always events or processes. See examples and discussion. (note: this should be moved to the property statements)	According to this template: obesity (Q12174) contributing factor of heart disease (Q190805) According to statements in the property: obesity (Q12174) ? heart disease (Q190805) When possible, data should only be stored as statements	Item
P1658	Number of faces of a solid	face (Q3064117)	maths	null	pentagonal bipyramid (Q193597), number of faces: 10 (note: this should be moved to the property statements)	Number
P1779	for a creative work with consderable uncertainty about the author	creator (Q2500638)	people; organisations	null	MISSING	Item
P575	when the item was discovered	discovery (Q753297)	all item that was discovered (e.g. astronomic objects, inventions, archaeological sites, animal/plant species...)	null	Uranus (Q324) ? 13 March 1781	Point in time
P1538	Number of households of a community	null	Grouping of households (Country, Province, County, City, village)	Range 0 to 10^10 (note: this should be moved to the property statements)	Family Population = 10000 (note: this should be moved to the property statements)	Number
P453	qualifier for cast member (P161) or voice actor (P725) to specify role played by actor/actress in film	role (Q1707847)	film	character or person - person (Q215627), fictional character (Q95074) in particular (note: this should be moved to the property statements)	Sherlock Holmes and Dr. Watson => cast member (P161)=Vasily Livanov + character role (P453)=Sherlock Holmes (note: this should be moved to the property statements)	Item
P574	publication date of this scientific name	null	taxon	null	lion (Q140) ? 1758	Point in time
P1414	framework or toolkit a program uses to display windows	widget toolkit (Q1193246)	software	items should be instance/subclass of GUI framework (note: this should be moved to the property statements)	GIMP (Q8038) ? GTK+ (Q189464)	Item
P1535	the person or organization that uses an object or a facility	user (Q818361)	all	all (note: this should be moved to the property statements)	remote control unit (Q185091) ? TV-watcher (Q3982960) Mudra barracks (Q15121187) ? Personalamt der Bundeswehr (Q575684) Batmobile (Q19958) ? Batman (Q2695156)	Item
P1656	Person who unveils a statue, sculpture, memorial or plaque, etc.	null	artworks, plaques, (others?)	people (or teams/ organisations) (note: this should be moved to the property statements)	According to this template: John F. Kennedy Memorial (Q18586139) => Robert F. Kennedy (Q25310) According to statements in the property: John F. Kennedy Memorial (Q18586139) ? Robert F. Kennedy (Q25310) When possible, data should only be stored as statements	Item
P1536	effect of this cause. When causally immediate effects exist, use 'immediate cause of' instead, and use this property for causally distant effects.	null	None. Often but not always events or processes. See examples and discussion.	Any. Often but not always events or processes. See examples and discussion. (note: this should be moved to the property statements)	According to this template: American Civil War (Q8676) immediate cause of assassination of Abraham Lincoln (Q1025404) According to statements in the property: American Civil War (Q8676) ? assassination of Abraham Lincoln (Q1025404) When possible, data should only be stored as statements	Item
P1657	null	MPAA classification category (Q23660208)	film (Q11424)	G (Q18665330), PG (Q18665334), PG-13 (Q18665339), R (Q18665344), NC-17 (Q18665349) (note: this should be moved to the property statements)	Star Wars Episode IV: A New Hope (Q17738) ? PG (Q18665334)	Item
P1412	languages that a given person speaks or writes; see also native language (P103)	null	person (Q215627)	languoid (Q17376908) (note: this should be moved to the property statements)	Margrethe II of Denmark (Q102139) ? Danish (Q9035), English (Q1860), French (Q150), Swedish (Q9027), German (Q188) and Faroese (Q25258) Confucius (Q4604) ? Old Chinese (Q35137)	Item
P1533	The surname/family name spelled the same was as this given name/first name is:	null	given name (Q202444)	family name (Q101352) (note: this should be moved to the property statements)	Louis (Q2897866) ? Louis (Q15728984) Sylvain (Q16281827) ? Sylvain (Q18001608)	Item
P1654	configuration of wing(s) used by an aircraft	wing configuration (Q2992500)	aircraft (Q11436)	subclasses of wing (Q161358) (note: this should be moved to the property statements)	According to this template: Cessna 172 Skyhawk (Q244479) => shoulder wing (Q2251569) According to statements in the property: Cessna 172 Skyhawk (Q244479) ? monoplane (Q627537) When possible, data should only be stored as statements	Item
P1775	for unknown artists who work in the manner of the named artist	creator (Q2500638)	people; organisations	null	MISSING	Item
P1534	qualifier used to supplement "end date"	end cause (Q22087155)	all	all (note: this should be moved to the property statements)	<?Goldie Hawn (Q188459) ()?> spouse (P26) [SQUID]<?Bill Hudson (Q2742575) ()?> with qualifier end reason divorce (Q93190) (note: this should be moved to the property statements)	Item
P1410	number of seats hold by political group or party in legislature body provided by qualifiers	elected person (Q16060143)	Unsorted	null	Bharatiya Janata Party (Q10230) => 117 with qaulifier Legislature legislative body (P194): Lok Sabha (Q230003) (note: this should be moved to the property statements)	Number
P1531	parents of hybrids (animal, plant, at whatever rank)	null	living things (organisms)	names of organisms (note: this should be moved to the property statements)	According to this template: Magnolia ×soulangeana (Q731443) => Magnolia denudata (Q794061) × Magnolia liliiflora (Q942031) According to statements in the property: Magnolia ×soulangeana (Q731443) ? Magnolia denudata (Q794061) When possible, data should only be stored as statements	Item
P1652	referee or umpire of a match	referee (Q202648)	Any sporting event (e.g. an instance of association football match (Q16466010) or any other subclass of sporting event (Q16510064))	Any human (Q5) (note: this should be moved to the property statements)	According to this template: 1931 FA Cup Final (Q4562832) => Harry Kingscott (Q16227123) According to statements in the property: 1931 FA Cup Final (Q4562832) ? Harry Kingscott (Q16227123) When possible, data should only be stored as statements	Item
P1773	uncertain but likely creator of an artwork	creator (Q2500638)	people; organisations	null	MISSING	Item
P1411	null	null	person, organisation or creative work	award (Q618779) (note: this should be moved to the property statements)	Arctic Monkeys (Q170599) ? Grammy Award for Best Alternative Music Album (Q1542129)	Item
P1532	country that person or national sports team (Q1194951) represents or have rights to represent on international sports events (or any contests)	null	Person (sportsmen)	both countries and some additional items like England (Q21) and Chinese Taipei (Q216923) (note: this should be moved to the property statements)	According to this template: Janet Lee (Q455653) ? Chinese Taipei (Q216923); Ad Wheeler (Q18015449) ? England (Q21) According to statements in the property: Janet Lee (Q455653) ? England (Q21) When possible, data should only be stored as statements	Item
P1774	workshop of artist whose work group are the likely creator of an artwork)	creator (Q2500638)	people; organisations	null	MISSING	Item
P459	Qualifier to indicate method used to get the value that appears in the statement. See also approximation algorithm (P1171).	null	chemistry, physic, biology...	methods, tests, instruments... (note: this should be moved to the property statements)	Determination of flash point (Q194376): Pensky–Martens closed-cup test (Q3710237), Cleveland open-cup method (Q5132304)... Age of a fossil: radiocarbon dating (Q173412)... Writing a chemical formula: Hill, inorganic, organic... (note: this should be moved to the property statements)	Item
P1891	null	null	document (Q49848) and its subclasses	items with instance of human (Q5) (note: this should be moved to the property statements)	Declaration of Independence of the United States (Q127912) ? Benjamin Harrison V (Q387664), Edward Rutledge (Q878666) and Benjamin Franklin (Q34969)	Item
P580	The time the claim began being valid, often paired with end time (P582). For creation date, rather use inception (P571) or service entry (P729).	null	Any claim that is valid within a certain range of time	any (bot hint: should be < to the corresponding end time (P582)) (note: this should be moved to the property statements)	India instance of sovereign state since 26 January 1950 (note: this should be moved to the property statements)	Point in time
P461	item that is the opposite of this item. See also: different from (P1889)	opposite (Q1498321)	abstract terms	similar (probably bidirectional) (note: this should be moved to the property statements)	black (Q23445) ? white (Q23444) war (Q198) ? peace (Q454) proprietary software (Q218616) ? free software (Q341) winter (Q1311) ? summer (Q1313)	Item
P582	The time the claim ended being valid, often paired with start time (P580). For organizations, rather use dissolved or abolished (P576) or service retirement (P730).	null	Any claim that is valid within a certain range of time	Any time after the beginning time of the claim (if the claim has a beginning time) ; "no value" if not applicable (note: this should be moved to the property statements)	Mexico: head of government (P6) Felipe Calderón, qualifier end time (P582) November 30, 2012 (note: this should be moved to the property statements)	Point in time
P460	this item is said to be the same as that item, but the statement is disputed	Wikimedia duplicated page (Q17362920)	can be applied to any item	item of similar nature (note: this should be moved to the property statements)	Maidilibala (Q7158737) ? Uskhal Khan Tögüs Temür (Q8937) Maidilibala (Q7158737) ? Elbeg Nigülesügchi Khan (Q9171)	Item
P126	null	organization (Q43229), human (Q5)	construction (Q811430)	organization (Q43229) (note: this should be moved to the property statements)	IUCN Red List (Q32059) ? International Union for Conservation of Nature (Q48268) National Register of Historic Places (Q3719) ? National Park Service (Q308439) Kyrkbron (Q3603778) ? Umeå Municipality (Q507709)	Item
P489	description of currency symbol	currency symbol (Q2494144)	term: currency - currency (Q8142)	null	United States dollar (Q4917) ? $ (Q11110) euro (Q4916) ? euro sign (Q18100)	Item
P488	presiding member of an organisation or body	null	organisations - organization (Q43229)	persons which are chairs of an organisation or body (note: this should be moved to the property statements)	According to this template: Bundestag : chairperson => Norbert Lammert, president US House of Representatives : chairperson => John Boehner, speaker CDU : chairperson => Angela Merkel According to statements in the property: United Nations (Q1065) ? Mogens Lykketoft (Q1937560) Bundestag of Germany (Q154797) ? Norbert Lammert (Q57474) United States House of Representatives (Q11701) ? John Boehner (Q11702) Christian Democratic Union (Q49762) ? Angela Merkel (Q567) When possible, data should only be stored as statements	Item
P128	biological process (Q2996394) regulated by a protein (Q8054) in molecular biology (Q7202)	null	types of protein (Q8054)	biological process (Q2996394) (note: this should be moved to the property statements)	According to this template: Reelin (Q13569356) regulates Neural development (Q1345738) According to statements in the property: Reelin (Q13561329) ? Neural development (Q1345738) When possible, data should only be stored as statements	Item
P127	Buildings have owners, and these are usually shown in infoboxes on WP (for organisations, use parent organization (P749))	proprietor (Q16869121)	buildings, works of art...	persons, organisations... (note: this should be moved to the property statements)	Choupette (Q5105465) ? Karl Lagerfeld (Q76716) Eiffel Tower (Q243) ? Paris (Q90) Wiktionary (Q151) ? Wikimedia Foundation (Q180) Schönbrunn Palace (Q131330) ? Leopold I, Holy Roman Emperor (Q150494)	Item
P248	null	null	Any item statement	Any item representing a source (note: this should be moved to the property statements)	Polydore Vergil (Q741149) says Richard III of England (Q133028) was killed at Bosworth Field (note: this should be moved to the property statements)	Item
P369	Dummy property for testing 'item' data type property values	null	null	null	Wikidata (Q2013) ? Wikidata Sandbox (Q4115189)	Item
P122	the subject's form of government	form of government (Q1307214)	state (Q7275)	form of government (Q6501139) (note: this should be moved to the property statements)	According to this template: Afghanistan (Q889) => republic (Q7270), Liechtenstein (Q347) => monarchy (Q7269), Brazil (Q155) => indirect democracy (Q188759) According to statements in the property: Afghanistan (Q889) ? republic (Q7270) Liechtenstein (Q347) ? monarchy (Q7269) Brazil (Q155) ? indirect democracy (Q188759) When possible, data should only be stored as statements	Item
P364	Language in which the book, movie or other work was originally created. Use language of work or name (P407) for translated versions of a work. Use native language (P103) or languages spoken or written (P1412) for persons.	original language (Q21707202)	work (Q386724) : films, books, websites...	any languoid (Q17376908), mainly languages - language (Q34770) (note: this should be moved to the property statements)	According to this template: The Autobiography of Alice B. Toklas (Q6618986) => English (Q1860) According to statements in the property: La Comédie humaine (Q50188) ? French (Q150) The Autobiography of Alice B. Toklas (Q6618986) ? English (Q1860) When possible, data should only be stored as statements	Item
P485	institution with the subject's archives	null	persons, organizations	instances of organization (Q43229) (note: this should be moved to the property statements)	Johann Sebastian Bach (Q1339) ? Bach-Archiv Leipzig (Q798038) Deux-Sèvres (Q12765) ? no label (Q19606454)	Item
P121	item used by the subject	null	objects, actions	classes of aircraft (Q11436) (note: this should be moved to the property statements)	According to this template: <?transport (Q7590) ()?> utilizes search<?Q1294755?> <?Lufthansa (Q9325) ()?> utilizes search<?Q5830?> <?British Airways (Q8766) ()?> utilizes search<?Q6505?> <?United States Air Force (Q11223) ()?> utilizes search<?133324?> <?railway train transport (Q3565868) ()?> utilizes search<?Q22667?> <?truck driver (Q508846) ()?> utilizes search<?Q43193?> According to statements in the property: transport (Q7590) ? craft (Q1294755) Lufthansa (Q9325) ? Airbus A380 (Q5830) British Airways (Q8766) ? Concorde (Q6505) railway train transport (Q3565868) ? railway/railroad (Q22667) truck driver (Q508846) ? truck (Q43193) When possible, data should only be stored as statements	Item
P1408	community a radio or TV station is officially assigned to	city of license (Q3545675)	instance of (P31): broadcast station (Q15943455) or subclass	instance of (P31): geographic location (Q2221906) or subclass (note: this should be moved to the property statements)	According to this template: WNBC (Q2731065) => New York City (Q60) WOR (Q3564763) => New York City (Q60) WWOR-TV (Q3044253) => Secaucus, New Jersey (Q1013249) (start time (P580)=>1983-04-20); New York City (Q60) (start time (P580)=>1941, end time (P582)=>1983-04-20); Newark (Q25395) (end time (P582)=>1941) WKTU (Q7951963) => Lake Success (Q302894) CBK (Q5009124) => Watrous (Q1917524) CITY-DT (Q2931559) => Toronto (Q172) According to statements in the property: WNBC (Q2731065) ? New York City (Q60) WOR (Q3564763) ? New York City (Q60) WKTU (Q7951963) ? Lake Success (Q302894) CBK (Q5009124) ? Watrous (Q1917524) CITY-DT (Q2931559) ? Toronto (Q172) When possible, data should only be stored as statements	Item
P1889	This item is different from that one, and they are often confused. In contrast to said to be the same as (P460) that expresses uncertainty "... the statement is disputed", different from expresses a strong negation	null	any item	any item (note: this should be moved to the property statements)	Philip A. Goodwin (Q7183094) (a politician) is different from Philip R. Goodwin (Q7184251) (a painter). Many pairs in P245 (ULAN) Unique value are examples of "different from" (and the rest should be merged). (note: this should be moved to the property statements)	Item
P366	main use of a building, a location, an object	use (Q1724915)	null	dwelling (Q699405), office building (Q1021645), commercial building (Q655686), mixed-use (note: this should be moved to the property statements)	According to this template: The Shard (Q18536) use (P366) office (Q182060) Laurier House (Q284595) use (P366) historic house museum (Q2087181) HNoMS Rauma (Q167033) use (P366) training ship (Q660668) 1,1-Dimethylhydrazine (Q161296) use (P366) rocket propellant (Q287464) According to statements in the property: book (Q571) ? reading (Q199657) The Shard (Q18536) ? office (Q182060) Laurier House (Q284595) ? historic house museum (Q2087181) HNoMS Rauma (Q167033) ? training ship (Q660668) 1,1-Dimethylhydrazine (Q161296) ? rocket propellant (Q287464) When possible, data should only be stored as statements	Item
P123	organisation responsible of the publication	publisher (Q2516866)	work (Q386724)	organization (Q43229) (note: this should be moved to the property statements)	The Oxford English Dictionary (Q44996) ? Oxford University Press (Q217595) StarCraft (Q165929) ? Nintendo (Q8093)	Item
P1406	Directionality of writing system	script directionality (Q17321709)	writing systems (alphabets, abugidas, etc.)	items with subclass of (P279) => script directionality (Q17321709) - one of this list - such as : left-to-right (Q17321844), right-to-left (Q7333457), bi-directional text (Q856986), mirror writing (Q835937), horizontal and vertical writing script (Q889482), top-to-bottom (Q17321917), bottom-to-top (Q17322076), ambigram (Q221552), boustrophedon (Q194233)... (note: this should be moved to the property statements)	According to this template: Osmanya alphabet (Q1377866) => left-to-right (Q17321844) According to statements in the property: Osmanya alphabet (Q1377866) ? left-to-right (Q17321844) When possible, data should only be stored as statements	Item
P1403	for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published	basionym (Q810198)	taxa	Q template or text (note: this should be moved to the property statements)	According to this template: lion (Q140) => Felis leo (Q15294488) According to statements in the property: lion (Q140) ? Felis leo (Q15294488) When possible, data should only be stored as statements	Item
P1887	null	null	null	null	null	null
P1885	null	cathedral (Q2977)	eparchy (Q285181), diocese (Q665487)	place of worship (Q1370598) (note: this should be moved to the property statements)	Minsk metropolis (Q18340606) ? Holy Spirit Cathedral (Q2588857) Roman Catholic Archdiocese of Paris (Q1242250) ? Notre Dame de Paris (Q2981)	Item
P1641	number of communication endpoint in TCP or UDP protocol	port (Q858321)	communications protocol (Q132364) (communication protocol)	0 <= port <= 65535 (note: this should be moved to the property statements)	Simple Mail Transfer Protocol (Q160453) ? 25	Number
P129	See WD:Molecular biology task force/Properties#Proposed Properties linking genes to genes	null	terms	null	Reelin (Q13569356) => Amyloid beta A4 protein (Q423510), Potassium voltage-gated channel subfamily H member 2 (Q905000) => tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon (Q8046084) (note: this should be moved to the property statements)	Item
P1884	model's/person's hair color	human hair color (Q1048314)	person (Q215627)	human hair color (Q1048314) (note: this should be moved to the property statements)	Kristen Bell (Q178882) ? blonde (Q202466) Iman (Q256531) ? brown hair (Q2367101) Du Juan (Q703687) ? black hair (Q1922956) Karen Elson (Q2076087) ? red hair (Q152357) Françoise de Stael (Q13567601) ? white hair (Q6933946)	Item
P1881	null	null	television series (Q5398426) and similar, i.e. radio series	null	Heroes (Q83401) ? List of Heroes characters (Q1538416)	Item
P1640	content specialist responsible for this collection	curator (Q674426)	museums, collections, exhibitions	Q5 (note: this should be moved to the property statements)	4. documenta (Q231289) ? Arnold Bode (Q651859)	Item
P1880	for a quantity, unit or concept that specific instruments have been developed to measure	null	null	null	earthquake (Q7944) ? Richter scale (Q38768) psychopathy (Q366886) ? Hare Psychopathy Checklist (Q1033930) and Levenson Self-Report Psychopathy Scale (Q6535196)	Item
P371	host, or person that otherwise takes the main role in presenting a radio or television programme	presenter (Q13590141)	work (Q386724), mainly television programs	persons (note: this should be moved to the property statements)	According to this template: Junior Eurovision Song Contest 2013 (Q275874) => Zlata Ognevich (Q1574590), Late Show with David Letterman (Q858778) => David Letterman (Q217298), American Idol (Q201052) => Ryan Seacrest (Q299266) According to statements in the property: Junior Eurovision Song Contest 2013 (Q275874) ? Zlata Ognevich (Q1574590) Late Show with David Letterman (Q858778) ? David Letterman (Q217298) American Idol (Q201052) ? Ryan Seacrest (Q299266) When possible, data should only be stored as statements	Item
P131	The item is located on the territory of the following administrative unit (upper level administrative subdivision). For non-administrative locations (such as unincorporated area (Q269528)), rather use location (P276) or located on terrain feature (P706).	administrative territorial entity (Q56061)	geographical object (Q618123)	null	Seattle (Q5083) ? Washington (Q1223) Eiffel Tower (Q243) ? 7th arrondissement of Paris (Q259463) Jungfrau (Q15312) ? Canton of Bern (Q11911)	Item
P115	home stadium or venue of a sports team or applicable performing arts organization	stadium (Q483110)	sports organization (Q4438121)	building (Q41176) (note: this should be moved to the property statements)	According to this template: Manchester United F.C. (Q18656) => Old Trafford (Q83457), Galatasaray S.K. (Q495299) => Türk Telekom Arena (Q81492), FC Bayern Munich (Q15789) => Allianz Arena (Q127429) According to statements in the property: Manchester United F.C. (Q18656) ? Old Trafford (Q83457) Galatasaray S.K. (Q495299) ? Türk Telekom Arena (Q81492) FC Bayern Munich (Q15789) ? Allianz Arena (Q127429) When possible, data should only be stored as statements	Item
P114	Airline alliance(s) that the airline belongs to.	airline alliance (Q465909)	airline (Q46970)	airline alliance (Q465909) (current list) (note: this should be moved to the property statements)	According to this template: United Airlines (Q174769) => Star Alliance (Q189709), Malaysia Airlines (Q308952) => Oneworld (Q8787), China Southern Airlines (Q291090) => SkyTeam (Q212282), Air Arabia (Q406798) => Arab Air Carriers Organization (Q623633) According to statements in the property: Korean Air (Q213147) ? SkyTeam (Q212282) Air Seychelles (Q407783) ? Alliance Vanille (Q19979288) United Airlines (Q174769) ? Star Alliance (Q189709) Malaysia Airlines (Q308952) ? Oneworld (Q8787) China Southern Airlines (Q291090) ? SkyTeam (Q212282) Air Arabia (Q406798) ? Arab Air Carriers Organization (Q623633) When possible, data should only be stored as statements	Item
P598	null	null	person	military unit (Q176799), vehicle (Q42889) (note: this should be moved to the property statements)	Jean de Lattre de Tassigny (Q81114) ? French Far East Expeditionary Corps (Q2997796) and First Army (France) (Q161715) Stede Bonnet (Q444908) ? Revenge (Q3428417)	Item
P237	Description of coat of arms (Q14659). See also coat of arms image (P94). For seal (Q162919), rather use seal description (P418).	coat of arms (Q14659)	mainly, but not exclusively, persons, states and organizations	coat of arms (Q14659) (note: this should be moved to the property statements)	Liechtenstein (Q347) ? coat of arms of Liechtenstein (Q207282)	Item
P358	list of works by the subject, e. g. a discography, bibliography or filmography - thematic catalog (Q2560570)	discography (Q273057), thematic catalog (Q2560570)	persons or groups	is a list of => albums - is a list of (P360) => album (Q482994) (note: this should be moved to the property statements)	According to this template: Katy Perry (Q42493) => Katy Perry discography (Q1415272), Britney Spears (Q11975) => Britney Spears discography (Q474659), Madonna (Q1744) => Madonna discography (Q498365) According to statements in the property: Katy Perry (Q42493) ? Katy Perry discography (Q1415272) Britney Spears (Q11975) ? Britney Spears discography (Q474659) Madonna (Q1744) ? Madonna discography (Q498365) When possible, data should only be stored as statements	Item
P479	input method/device for video games (not software I would say), maybe video game consoles (and maybe also possible for other devices)	input device (Q864114)	video games, video game consoles	items which are subclass of input device (note: this should be moved to the property statements)	<Counter-Strike 1.6> input method <mouse>, <keyboard> (note: this should be moved to the property statements)	Item
P111	physical property measured by an unit	null	unit of measurement (Q47574)	physical quantity (Q107715) (note: this should be moved to the property statements)	According to this template: kelvin (Q11579) => temperature (Q11466), hertz (Q39369) => frequency (Q11652), henry (Q163354) => inductance (Q177897), candela (Q83216) => luminous intensity (Q104831), mole (Q41509) => amount of substance (Q104946), siemens (Q169893) => electrical conductance (Q309017), lumen (Q484092) => luminous flux (Q107780), steradian (Q177612) => solid angle (Q208476), katal (Q208634) => catalysis (Q82264), gray (Q190095) => absorbed dose (Q215313) According to statements in the property: minute (Q7727) ? time (Q11471) kelvin (Q11579) ? temperature (Q11466) hertz (Q39369) ? frequency (Q11652) henry (Q163354) ? inductance (Q177897) candela (Q83216) ? luminous intensity (Q104831) mole (Q41509) ? amount of substance (Q104946) siemens (Q169893) ? electrical conductance (Q309017) lumen (Q484092) ? luminous flux (Q107780) steradian (Q177612) ? solid angle (Q208476) katal (Q208634) ? catalysis (Q82264) gray (Q190095) ? absorbed dose (Q215313) When possible, data should only be stored as statements	Item
